job_id,judul_pekerjaan,deskripsi,kategori_skill,tipe_pekerjaan,lokasi_kota,latitude,longitude,upah_ditawarkan,satuan_upah,durasi,employer_rating
INF0082,Kurir / Ojek Barang,Butuh ojek barang untuk angkut barang pindahan rumah.,Kurir / Ojek Barang,Informal,Denpasar,-8.651439,115.225324,60000,per hari,Bulanan,4.8
INF0083,Kurir / Ojek Barang,"Dibutuhkan kurir untuk antar barang harian area kota, punya motor sendiri.",Kurir / Ojek Barang,Informal,Bekasi,-6.189916,107.003864,120000,per proyek,Sekali proyek,4.5
INF0084,Juru Masak / Katering Rumahan,"Dibutuhkan tukang masak untuk warung makan, paham masakan rumahan.",Juru Masak / Katering Rumahan,Informal,Malang,-7.982477,112.667558,200000,per hari,Harian,4.2
INF0085,Sopir,Cari sopir lepas untuk sewa mobil harian.,Sopir,Informal,Depok,-6.369629,106.814931,150000,per hari,Mingguan,4.6
INF0086,Tukang Kebun,Butuh tenaga kebun untuk bersihkan halaman dan tanaman.,Tukang Kebun,Informal,Denpasar,-8.63968,115.216417,200000,per proyek,Sekali proyek,4.2
INF0087,Satpam / Security,Dibutuhkan satpam shift malam untuk area perumahan.,Satpam / Security,Informal,Semarang,-6.98447,110.39125,60000,per hari,Bulanan,4.8
INF0088,Tukang Cuci / Laundry,Dibutuhkan tenaga cuci setrika harian untuk rumah tangga.,Tukang Cuci / Laundry,Informal,Denpasar,-8.659467,115.200499,50000,per proyek,Sekali proyek,4.8
INF0089,Tukang Cuci / Laundry,"Butuh tenaga laundry kiloan, bisa setrika rapi.",Tukang Cuci / Laundry,Informal,Medan,3.580682,98.648035,100000,per hari,Bulanan,4.3
INF0090,Cleaning Service,"Cari petugas kebersihan gedung, shift pagi/sore.",Cleaning Service,Informal,Surabaya,-7.283364,112.742743,80000,per proyek,Sekali proyek,4.5
INF0091,Tukang Cuci / Laundry,"Butuh tenaga laundry kiloan, bisa setrika rapi.",Tukang Cuci / Laundry,Informal,Bekasi,-6.286576,106.955024,150000,per hari,Mingguan,4.0
INF0092,Buruh Gudang,Cari tenaga buruh gudang untuk sortir dan pindahkan stok barang.,Buruh Gudang,Informal,Padang,-0.941753,100.401576,120000,per hari,Bulanan,4.6
INF0093,Tukang Kebun,Butuh tenaga kebun untuk bersihkan halaman dan tanaman.,Tukang Kebun,Informal,Semarang,-6.993646,110.438828,120000,per hari,Harian,4.6
INF0094,Asisten Rumah Tangga (ART),"Dibutuhkan ART pengalaman mengurus rumah tangga, jujur dan rajin.",Asisten Rumah Tangga (ART),Informal,Medan,3.566838,98.67062,100000,per hari,Harian,4.7
INF0095,Cleaning Service,"Dibutuhkan tenaga cleaning service untuk kantor, kerja pagi hari.",Cleaning Service,Informal,Makassar,-5.179756,119.384115,75000,per hari,Bulanan,3.6
INF0096,Juru Masak / Katering Rumahan,"Cari koki lepas untuk acara/hajatan, bayaran per acara.",Juru Masak / Katering Rumahan,Informal,Semarang,-6.946958,110.379328,200000,per hari,Harian,4.8
INF0097,Tukang Kebun,Dicari tukang taman berpengalaman untuk pemangkasan dan penyiraman.,Tukang Kebun,Informal,Padang,-0.949229,100.401271,50000,per hari,Bulanan,4.9
INF0098,Kurir / Ojek Barang,Butuh ojek barang untuk angkut barang pindahan rumah.,Kurir / Ojek Barang,Informal,Bogor,-6.640566,106.805175,50000,per hari,Mingguan,3.7
INF0099,Tukang Kebun,Dicari tukang taman berpengalaman untuk pemangkasan dan penyiraman.,Tukang Kebun,Informal,Surabaya,-7.208108,112.713945,150000,per hari,Mingguan,4.7
INF0100,Tukang Cuci / Laundry,Dibutuhkan tenaga cuci setrika harian untuk rumah tangga.,Tukang Cuci / Laundry,Informal,Depok,-6.408228,106.830217,150000,per hari,Bulanan,4.4
INF0101,Satpam / Security,Dibutuhkan satpam shift malam untuk area perumahan.,Satpam / Security,Informal,Tangerang,-6.218377,106.658174,80000,per hari,Bulanan,4.5
INF0102,Cleaning Service,"Cari petugas kebersihan gedung, shift pagi/sore.",Cleaning Service,Informal,Bandung,-6.912301,107.584753,150000,per proyek,Sekali proyek,4.5
INF0103,Tukang Kebun,Dicari tukang taman berpengalaman untuk pemangkasan dan penyiraman.,Tukang Kebun,Informal,Jakarta,-6.235652,106.866296,200000,per hari,Harian,4.5
INF0104,Sopir,Cari sopir lepas untuk sewa mobil harian.,Sopir,Informal,Denpasar,-8.654382,115.255967,150000,per hari,Harian,4.3
INF0105,Asisten Rumah Tangga (ART),Cari ART lepas untuk bersih rumah 3x seminggu.,Asisten Rumah Tangga (ART),Informal,Depok,-6.425937,106.758424,50000,per hari,Mingguan,4.7
INF0106,Pedagang Keliling / Bantu Jualan,"Dibutuhkan tenaga bantu dagang gerobak, kerja pagi-siang.",Pedagang Keliling / Bantu Jualan,Informal,Bogor,-6.590179,106.784861,60000,per proyek,Sekali proyek,4.5
INF0107,Baby Sitter,Cari baby sitter live-in untuk anak balita.,Baby Sitter,Informal,Semarang,-6.966653,110.41608,60000,per hari,Harian,4.8
INF0108,Buruh Gudang,"Dibutuhkan buruh angkut barang gudang, kerja fisik, upah harian.",Buruh Gudang,Informal,Denpasar,-8.695463,115.171733,50000,per hari,Bulanan,4.4
INF0109,Tukang Cuci / Laundry,"Cari tukang cuci untuk bantu laundry rumahan, kerja pagi.",Tukang Cuci / Laundry,Informal,Yogyakarta,-7.780449,110.411107,75000,per proyek,Sekali proyek,4.5
INF0110,Kurir / Ojek Barang,Butuh ojek barang untuk angkut barang pindahan rumah.,Kurir / Ojek Barang,Informal,Padang,-0.962304,100.400531,60000,per hari,Mingguan,4.0
INF0111,Tukang Cuci / Laundry,"Cari tukang cuci untuk bantu laundry rumahan, kerja pagi.",Tukang Cuci / Laundry,Informal,Semarang,-6.950442,110.406745,50000,per proyek,Sekali proyek,3.6
INF0112,Buruh Gudang,"Dibutuhkan buruh angkut barang gudang, kerja fisik, upah harian.",Buruh Gudang,Informal,Surabaya,-7.210482,112.742518,50000,per proyek,Sekali proyek,4.1
INF0113,Juru Masak / Katering Rumahan,"Cari koki lepas untuk acara/hajatan, bayaran per acara.",Juru Masak / Katering Rumahan,Informal,Makassar,-5.135437,119.432549,200000,per hari,Harian,3.8
INF0114,Asisten Rumah Tangga (ART),Cari ART lepas untuk bersih rumah 3x seminggu.,Asisten Rumah Tangga (ART),Informal,Depok,-6.423697,106.832285,200000,per hari,Harian,3.5
INF0115,Satpam / Security,Dibutuhkan satpam shift malam untuk area perumahan.,Satpam / Security,Informal,Bekasi,-6.26437,106.941438,50000,per proyek,Sekali proyek,3.6
INF0116,Tukang Cuci / Laundry,"Cari tukang cuci untuk bantu laundry rumahan, kerja pagi.",Tukang Cuci / Laundry,Informal,Surabaya,-7.242729,112.717497,100000,per hari,Bulanan,4.1
INF0117,Tukang Cuci / Laundry,"Cari tukang cuci untuk bantu laundry rumahan, kerja pagi.",Tukang Cuci / Laundry,Informal,Medan,3.590879,98.636664,80000,per hari,Mingguan,4.8
INF0118,Baby Sitter,Cari baby sitter live-in untuk anak balita.,Baby Sitter,Informal,Makassar,-5.104275,119.433474,50000,per hari,Bulanan,4.6
INF0119,Satpam / Security,Butuh satpam berpengalaman untuk pos ronda kompleks.,Satpam / Security,Informal,Malang,-7.967636,112.59746,200000,per hari,Bulanan,4.0
INF0120,Baby Sitter,"Dibutuhkan pengasuh anak harian, sabar dan bertanggung jawab.",Baby Sitter,Informal,Padang,-0.903815,100.45416,80000,per proyek,Sekali proyek,3.9
INF0121,Tukang Bangunan,Butuh tukang batu dan tukang kayu untuk pembangunan pagar dan teras.,Tukang Bangunan,Informal,Makassar,-5.123229,119.453223,150000,per proyek,Sekali proyek,5.0
INF0122,Asisten Rumah Tangga (ART),"Dibutuhkan ART pengalaman mengurus rumah tangga, jujur dan rajin.",Asisten Rumah Tangga (ART),Informal,Padang,-0.900618,100.379825,120000,per hari,Harian,4.8
INF0123,Kurir / Ojek Barang,"Dibutuhkan kurir untuk antar barang harian area kota, punya motor sendiri.",Kurir / Ojek Barang,Informal,Yogyakarta,-7.754556,110.321035,75000,per proyek,Sekali proyek,4.8
INF0124,Kurir / Ojek Barang,Butuh ojek barang untuk angkut barang pindahan rumah.,Kurir / Ojek Barang,Informal,Padang,-0.918947,100.393702,150000,per hari,Harian,4.8
INF0125,Juru Masak / Katering Rumahan,Mencari juru masak harian untuk katering rumahan skala kecil.,Juru Masak / Katering Rumahan,Informal,Palembang,-2.930686,104.78808,200000,per hari,Harian,4.4
INF0126,Sopir,Cari sopir lepas untuk sewa mobil harian.,Sopir,Informal,Malang,-7.924507,112.682343,60000,per proyek,Sekali proyek,5.0
INF0127,Pedagang Keliling / Bantu Jualan,"Membutuhkan tenaga bantu jualan keliling, jujur dan rajin.",Pedagang Keliling / Bantu Jualan,Informal,Bogor,-6.637049,106.772636,100000,per hari,Harian,3.6
INF0128,Tukang Kebun,"Membutuhkan tukang kebun untuk merawat taman rumah, datang mingguan.",Tukang Kebun,Informal,Makassar,-5.160216,119.397257,150000,per hari,Mingguan,3.8
INF0129,Satpam / Security,Butuh satpam berpengalaman untuk pos ronda kompleks.,Satpam / Security,Informal,Bogor,-6.608846,106.824313,200000,per hari,Mingguan,3.8
INF0130,Tukang Kebun,"Membutuhkan tukang kebun untuk merawat taman rumah, datang mingguan.",Tukang Kebun,Informal,Padang,-0.971567,100.36814,200000,per hari,Bulanan,4.5
INF0131,Kurir / Ojek Barang,"Cari kurir paket cepat, jam kerja fleksibel, bayaran per antar.",Kurir / Ojek Barang,Informal,Padang,-0.902576,100.465965,100000,per proyek,Sekali proyek,4.5
INF0132,Tukang Kebun,Dicari tukang taman berpengalaman untuk pemangkasan dan penyiraman.,Tukang Kebun,Informal,Medan,3.645137,98.707534,60000,per hari,Mingguan,4.1
INF0133,Satpam / Security,Butuh satpam berpengalaman untuk pos ronda kompleks.,Satpam / Security,Informal,Semarang,-6.917431,110.396223,150000,per hari,Bulanan,3.5
INF0134,Pedagang Keliling / Bantu Jualan,Cari orang untuk bantu jaga lapak pasar pagi.,Pedagang Keliling / Bantu Jualan,Informal,Jakarta,-6.167738,106.870117,100000,per hari,Mingguan,4.4
INF0135,Cleaning Service,Butuh cleaning service harian untuk area ruko dan gudang.,Cleaning Service,Informal,Malang,-7.997587,112.607663,75000,per hari,Harian,4.9
INF0136,Tukang Bangunan,"Dicari tukang untuk proyek pembangunan ruko, bisa mulai kerja minggu ini.",Tukang Bangunan,Informal,Semarang,-6.937839,110.370036,120000,per hari,Mingguan,3.6
INF0137,Buruh Gudang,Cari tenaga buruh gudang untuk sortir dan pindahkan stok barang.,Buruh Gudang,Informal,Tangerang,-6.18675,106.601979,120000,per hari,Bulanan,4.7
INF0138,Tukang Cuci / Laundry,Dibutuhkan tenaga cuci setrika harian untuk rumah tangga.,Tukang Cuci / Laundry,Informal,Bekasi,-6.258786,107.01264,60000,per proyek,Sekali proyek,4.9
INF0139,Cleaning Service,"Cari petugas kebersihan gedung, shift pagi/sore.",Cleaning Service,Informal,Bogor,-6.579468,106.823441,150000,per hari,Bulanan,3.6
INF0140,Tukang Bangunan,"Dicari tukang untuk proyek pembangunan ruko, bisa mulai kerja minggu ini.",Tukang Bangunan,Informal,Semarang,-6.963043,110.412179,100000,per proyek,Sekali proyek,4.7
INF0141,Kurir / Ojek Barang,Butuh ojek barang untuk angkut barang pindahan rumah.,Kurir / Ojek Barang,Informal,Malang,-7.993218,112.585102,120000,per hari,Mingguan,4.5
INF0142,Tukang Cuci / Laundry,Dibutuhkan tenaga cuci setrika harian untuk rumah tangga.,Tukang Cuci / Laundry,Informal,Depok,-6.382392,106.809124,60000,per hari,Mingguan,3.6
INF0143,Tukang Kebun,Butuh tenaga kebun untuk bersihkan halaman dan tanaman.,Tukang Kebun,Informal,Padang,-0.985488,100.39068,75000,per proyek,Sekali proyek,4.2
INF0144,Pedagang Keliling / Bantu Jualan,Cari orang untuk bantu jaga lapak pasar pagi.,Pedagang Keliling / Bantu Jualan,Informal,Tangerang,-6.133703,106.623813,75000,per proyek,Sekali proyek,4.5
INF0145,Satpam / Security,Dibutuhkan satpam shift malam untuk area perumahan.,Satpam / Security,Informal,Palembang,-2.932195,104.753374,120000,per hari,Mingguan,4.2
